Tab-delimited Protein to Protein Blast Summary:
Query database: /Users/pwilmart/Desktop/TimeMachineSkip/Phil/Ben_annotation_example/BLAST/GCF_005190385.1_NGI_Narwhal_1_protein_subset.fasta
Hit database: /Users/pwilmart/Desktop/TimeMachineSkip/Phil/Ben_annotation_example/BLAST/2019.06_UP000005640_9606_Homo_sapiens_canonical.fasta


query_number	query_acc	query_desc	hit_acc	hit_desc	blast_scores	match_status	query_aa	hit_aa	alignment_aa	identity_aa	positive_aa	pc_identity	pc_postive	bit_score
168	XP_029083177.1	complement factor H-like isoform X1 [Monodon monoceros]	sp|P08603|CFAH_HUMAN	Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4	ident:771/1237 pos:952/1237 query:1237 hit:1231 align:1240 bit:1619.4	OK	1237	1231	1240	771	952	62.3	77.0	1619.4
169	XP_029083178.1	complement factor H-like isoform X2 [Monodon monoceros]	sp|P08603|CFAH_HUMAN	Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4	ident:726/1179 pos:896/1179 query:1179 hit:1231 align:1247 bit:1464.9	OK	1179	1231	1247	726	896	61.6	76.0	1464.9
170	XP_029083180.1	coagulation factor XIII B chain-like [Monodon monoceros]	sp|P05160|F13B_HUMAN	Coagulation factor XIII B chain OS=Homo sapiens OX=9606 GN=F13B PE=1 SV=3	ident:524/660 pos:573/660 query:660 hit:661 align:661 bit:1095.5	OK	660	661	661	524	573	79.4	86.8	1095.5
171	XP_029083524.1	antithrombin-III isoform X1 [Monodon monoceros]	sp|P01008|ANT3_HUMAN	Antithrombin-III OS=Homo sapiens OX=9606 GN=SERPINC1 PE=1 SV=1	ident:402/501 pos:418/501 query:501 hit:464 align:449 bit:829.3	OK	501	464	449	402	418	80.2	83.4	829.3
172	XP_029083640.1	serpin B10 isoform X1 [Monodon monoceros]	sp|P48595|SPB10_HUMAN	Serpin B10 OS=Homo sapiens OX=9606 GN=SERPINB10 PE=1 SV=1	ident:321/398 pos:366/398 query:398 hit:397 align:398 bit:676.8	OK	398	397	398	321	366	80.7	92.0	676.8
173	XP_029083715.1	adenylyl cyclase-associated protein 1 isoform X1 [Monodon monoceros]	sp|Q01518|CAP1_HUMAN	Adenylyl cyclase-associated protein 1 OS=Homo sapiens OX=9606 GN=CAP1 PE=1 SV=5	ident:439/475 pos:451/475 query:475 hit:475 align:475 bit:875.5	OK	475	475	475	439	451	92.4	94.9	875.5
174	XP_029083746.1	cathepsin S isoform X1 [Monodon monoceros]	sp|P25774|CATS_HUMAN	Cathepsin S OS=Homo sapiens OX=9606 GN=CTSS PE=1 SV=3	ident:288/340 pos:310/340 query:340 hit:331 align:331 bit:617.1	OK	340	331	331	288	310	84.7	91.2	617.1
175	XP_029084026.1	rho-related GTP-binding protein RhoC [Monodon monoceros]	sp|P08134|RHOC_HUMAN	Rho-related GTP-binding protein RhoC OS=Homo sapiens OX=9606 GN=RHOC PE=1 SV=1	ident:193/193 pos:193/193 query:193 hit:193 align:193 bit:400.6	OK	193	193	193	193	193	100.0	100.0	400.6
176	XP_029084070.1	mannan-binding lectin serine protease 2 isoform X1 [Monodon monoceros]	sp|O00187|MASP2_HUMAN	Mannan-binding lectin serine protease 2 OS=Homo sapiens OX=9606 GN=MASP2 PE=1 SV=4	ident:566/686 pos:612/686 query:686 hit:686 align:687 bit:1180.2	OK	686	686	687	566	612	82.5	89.2	1180.2
177	XP_029084110.1	tropomyosin alpha-3 chain isoform X1 [Monodon monoceros]	sp|P67936|TPM4_HUMAN	Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3	ident:188/248 pos:222/248 query:248 hit:248 align:246 bit:334.7	OK	248	248	246	188	222	75.8	89.5	334.7
178	XP_029084175.1	protein-S-isoprenylcysteine O-methyltransferase [Monodon monoceros]	sp|O60725|ICMT_HUMAN	Protein-S-isoprenylcysteine O-methyltransferase OS=Homo sapiens OX=9606 GN=ICMT PE=1 SV=1	ident:275/284 pos:282/284 query:284 hit:284 align:284 bit:568.2	OK	284	284	284	275	282	96.8	99.3	568.2
179	XP_029084194.1	coagulation factor V isoform X3 [Monodon monoceros]	sp|P12259|FA5_HUMAN	Coagulation factor V OS=Homo sapiens OX=9606 GN=F5 PE=1 SV=4	ident:1337/1738 pos:1466/1738 query:1738 hit:2224 align:1807 bit:2644.0	OK	1738	2224	1807	1337	1466	76.9	84.3	2644.0
180	XP_029084499.1	complement component C8 alpha chain isoform X2 [Monodon monoceros]	sp|P07357|CO8A_HUMAN	Complement component C8 alpha chain OS=Homo sapiens OX=9606 GN=C8A PE=1 SV=2	ident:405/554 pos:458/554 query:554 hit:584 align:530 bit:827.8	OK	554	584	530	405	458	73.1	82.7	827.8
181	XP_029084770.1	proteoglycan 4 isoform X1 [Monodon monoceros]	sp|Q92954|PRG4_HUMAN	Proteoglycan 4 OS=Homo sapiens OX=9606 GN=PRG4 PE=1 SV=3	ident:328/1003 pos:354/1003 query:1003 hit:1404 align:414 bit:676.8	Partial_match_both	1003	1404	414	328	354	32.7	35.3	676.8
182	XP_029085018.1	extracellular matrix protein 1 isoform X1 [Monodon monoceros]	sp|Q16610|ECM1_HUMAN	Extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=ECM1 PE=1 SV=2	ident:420/544 pos:462/544 query:544 hit:540 align:545 bit:864.4	OK	544	540	545	420	462	77.2	84.9	864.4
183	XP_029085105.1	complement decay-accelerating factor isoform X1 [Monodon monoceros]	sp|P08174|DAF_HUMAN	Complement decay-accelerating factor OS=Homo sapiens OX=9606 GN=CD55 PE=1 SV=4	ident:174/567 pos:215/567 query:567 hit:381 align:280 bit:382.9	Partial_match_query	567	381	280	174	215	30.7	37.9	382.9
184	XP_029085146.1	complement component C8 beta chain [Monodon monoceros]	sp|P07358|CO8B_HUMAN	Complement component C8 beta chain OS=Homo sapiens OX=9606 GN=C8B PE=1 SV=3	ident:504/590 pos:537/590 query:590 hit:591 align:590 bit:1075.5	OK	590	591	590	504	537	85.4	91.0	1075.5
185	XP_029085198.1	C4b-binding protein alpha chain isoform X2 [Monodon monoceros]	sp|P04003|C4BPA_HUMAN	C4b-binding protein alpha chain OS=Homo sapiens OX=9606 GN=C4BPA PE=1 SV=2	ident:382/616 pos:452/616 query:616 hit:597 align:595 bit:783.9	OK	616	597	595	382	452	62.0	73.4	783.9
186	XP_029085258.1	alpha-enolase [Monodon monoceros]	sp|P06733|ENOA_HUMAN	Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2	ident:414/434 pos:428/434 query:434 hit:434 align:434 bit:863.6	OK	434	434	434	414	428	95.4	98.6	863.6
187	XP_029085353.1	protein S100-A6 [Monodon monoceros]	sp|P06703|S10A6_HUMAN	Protein S100-A6 OS=Homo sapiens OX=9606 GN=S100A6 PE=1 SV=1	ident:77/90 pos:85/90 query:90 hit:90 align:90 bit:162.2	OK	90	90	90	77	85	85.6	94.4	162.2
188	XP_029085499.1	peroxiredoxin-1 [Monodon monoceros]	sp|Q06830|PRDX1_HUMAN	Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1	ident:192/199 pos:196/199 query:199 hit:199 align:199 bit:401.0	OK	199	199	199	192	196	96.5	98.5	401.0
189	XP_029085583.1	transgelin-2 [Monodon monoceros]	sp|P37802|TAGL2_HUMAN	Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3	ident:192/199 pos:198/199 query:199 hit:199 align:199 bit:401.4	OK	199	199	199	192	198	96.5	99.5	401.4
190	XP_029085612.1	apolipoprotein R-like isoform X1 [Monodon monoceros]	sp|P04003|C4BPA_HUMAN	C4b-binding protein alpha chain OS=Homo sapiens OX=9606 GN=C4BPA PE=1 SV=2	ident:107/189 pos:129/189 query:189 hit:597 align:165 bit:227.6	Partial_match_hit	189	597	165	107	129	56.6	68.3	227.6
191	XP_029085680.1	N-fatty-acyl-amino acid synthase/hydrolase PM20D1 [Monodon monoceros]	sp|Q6GTS8|P20D1_HUMAN	N-fatty-acyl-amino acid synthase/hydrolase PM20D1 OS=Homo sapiens OX=9606 GN=PM20D1 PE=2 SV=3	ident:396/505 pos:445/505 query:505 hit:502 align:505 bit:779.2	OK	505	502	505	396	445	78.4	88.1	779.2
192	XP_029086416.1	C4b-binding protein beta chain isoform X1 [Monodon monoceros]	sp|P20851|C4BPB_HUMAN	C4b-binding protein beta chain OS=Homo sapiens OX=9606 GN=C4BPB PE=1 SV=1	ident:186/255 pos:217/255 query:255 hit:252 align:255 bit:391.0	OK	255	252	255	186	217	72.9	85.1	391.0
193	XP_029086432.1	protein/nucleic acid deglycase DJ-1 [Monodon monoceros]	sp|Q99497|PARK7_HUMAN	Protein/nucleic acid deglycase DJ-1 OS=Homo sapiens OX=9606 GN=PARK7 PE=1 SV=2	ident:171/189 pos:181/189 query:189 hit:189 align:189 bit:352.8	OK	189	189	189	171	181	90.5	95.8	352.8
194	XP_029086491.1	LOW QUALITY PROTEIN: protein S100-A12 [Monodon monoceros]	sp|P80511|S10AC_HUMAN	Protein S100-A12 OS=Homo sapiens OX=9606 GN=S100A12 PE=1 SV=2	ident:56/136 pos:74/136 query:136 hit:92 align:92 bit:121.3	OK	136	92	92	56	74	41.2	54.4	121.3
195	XP_029086789.1	apolipoprotein A-II [Monodon monoceros]	sp|P02652|APOA2_HUMAN	Apolipoprotein A-II OS=Homo sapiens OX=9606 GN=APOA2 PE=1 SV=1	ident:69/103 pos:83/103 query:103 hit:100 align:100 bit:126.7	OK	103	100	100	69	83	67.0	80.6	126.7
196	XP_029086819.1	polymeric immunoglobulin receptor [Monodon monoceros]	sp|P01833|PIGR_HUMAN	Polymeric immunoglobulin receptor OS=Homo sapiens OX=9606 GN=PIGR PE=1 SV=4	ident:530/760 pos:624/760 query:760 hit:764 align:764 bit:1061.2	OK	760	764	764	530	624	69.7	82.1	1061.2
197	XP_029087049.1	complement receptor type 2 isoform X1 [Monodon monoceros]	sp|P20023|CR2_HUMAN	Complement receptor type 2 OS=Homo sapiens OX=9606 GN=CR2 PE=1 SV=2	ident:565/1471 pos:661/1471 query:1471 hit:1033 align:970 bit:1067.4	OK	1471	1033	970	565	661	38.4	44.9	1067.4
198	XP_029087268.1	protein CREG2 isoform X1 [Monodon monoceros]	sp|Q8IUH2|CREG2_HUMAN	Protein CREG2 OS=Homo sapiens OX=9606 GN=CREG2 PE=1 SV=1	ident:231/279 pos:246/279 query:279 hit:290 align:276 bit:447.6	OK	279	290	276	231	246	82.8	88.2	447.6
199	XP_029087702.1	prenylcysteine oxidase 1 isoform X1 [Monodon monoceros]	sp|Q9UHG3|PCYOX_HUMAN	Prenylcysteine oxidase 1 OS=Homo sapiens OX=9606 GN=PCYOX1 PE=1 SV=3	ident:388/526 pos:437/526 query:526 hit:505 align:484 bit:802.0	OK	526	505	484	388	437	73.8	83.1	802.0
200	XP_029087833.1	EGF-containing fibulin-like extracellular matrix protein 1 isoform X1 [Monodon monoceros]	sp|Q12805|FBLN3_HUMAN	EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=EFEMP1 PE=1 SV=2	ident:464/498 pos:473/498 query:498 hit:493 align:502 bit:953.0	OK	498	493	502	464	473	93.2	95.0	953.0
201	XP_029087893.1	apolipoprotein B-100 isoform X1 [Monodon monoceros]	sp|P04114|APOB_HUMAN	Apolipoprotein B-100 OS=Homo sapiens OX=9606 GN=APOB PE=1 SV=2	ident:3498/4566 pos:3972/4566 query:4566 hit:4563 align:4547 bit:7243.3	OK	4566	4563	4547	3498	3972	76.6	87.0	7243.3
202	XP_029087915.1	tyrosine-protein kinase Mer isoform X1 [Monodon monoceros]	sp|Q12866|MERTK_HUMAN	Tyrosine-protein kinase Mer OS=Homo sapiens OX=9606 GN=MERTK PE=1 SV=2	ident:837/999 pos:900/999 query:999 hit:999 align:983 bit:1746.9	OK	999	999	983	837	900	83.8	90.1	1746.9
203	XP_029088328.1	pulmonary surfactant-associated protein B [Monodon monoceros]	sp|P07988|PSPB_HUMAN	Pulmonary surfactant-associated protein B OS=Homo sapiens OX=9606 GN=SFTPB PE=1 SV=3	ident:248/371 pos:278/371 query:371 hit:381 align:371 bit:469.9	OK	371	381	371	248	278	66.8	74.9	469.9
204	XP_029088828.1	laminin subunit beta-1 isoform X1 [Monodon monoceros]	sp|P07942|LAMB1_HUMAN	Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2	ident:1658/1832 pos:1724/1832 query:1832 hit:1786 align:1774 bit:3472.9	OK	1832	1786	1774	1658	1724	90.5	94.1	3472.9
205	XP_029088877.1	voltage-dependent calcium channel subunit alpha-2/delta-1 [Monodon monoceros]	sp|P54289|CA2D1_HUMAN	Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Homo sapiens OX=9606 GN=CACNA2D1 PE=1 SV=3	ident:674/734 pos:676/734 query:734 hit:1103 align:698 bit:1375.2	OK	734	1103	698	674	676	91.8	92.1	1375.2
206	XP_029089370.1	myotrophin [Monodon monoceros]	sp|P58546|MTPN_HUMAN	Myotrophin OS=Homo sapiens OX=9606 GN=MTPN PE=1 SV=2	ident:118/118 pos:118/118 query:118 hit:118 align:118 bit:241.9	OK	118	118	118	118	118	100.0	100.0	241.9
207	XP_029089398.1	caldesmon isoform X1 [Monodon monoceros]	sp|Q05682|CALD1_HUMAN	Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3	ident:398/761 pos:416/761 query:761 hit:793 align:436 bit:651.0	OK	761	793	436	398	416	52.3	54.7	651.0
208	XP_029089806.1	peptidyl-prolyl cis-trans isomerase A isoform X1 [Monodon monoceros]	sp|P62937|PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2	ident:161/164 pos:164/164 query:164 hit:165 align:164 bit:334.7	OK	164	165	164	161	164	98.2	100.0	334.7
209	XP_029090218.1	insulin-like growth factor-binding protein 3 [Monodon monoceros]	sp|P17936|IBP3_HUMAN	Insulin-like growth factor-binding protein 3 OS=Homo sapiens OX=9606 GN=IGFBP3 PE=1 SV=2	ident:244/293 pos:259/293 query:293 hit:291 align:293 bit:486.9	OK	293	291	293	244	259	83.3	88.4	486.9
210	XP_029090286.1	epidermal growth factor receptor isoform X1 [Monodon monoceros]	sp|P00533|EGFR_HUMAN	Epidermal growth factor receptor OS=Homo sapiens OX=9606 GN=EGFR PE=1 SV=2	ident:1034/1209 pos:1108/1209 query:1209 hit:1210 align:1190 bit:2147.1	OK	1209	1210	1190	1034	1108	85.5	91.6	2147.1
211	XP_029090297.1	proteasome subunit alpha type-2 [Monodon monoceros]	sp|P25787|PSA2_HUMAN	Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2	ident:234/234 pos:234/234 query:234 hit:234 align:234 bit:486.1	OK	234	234	234	234	234	100.0	100.0	486.1
212	XP_029090445.1	alpha-synuclein isoform X1 [Monodon monoceros]	sp|P37840|SYUA_HUMAN	Alpha-synuclein OS=Homo sapiens OX=9606 GN=SNCA PE=1 SV=1	ident:123/145 pos:124/145 query:145 hit:140 align:131 bit:226.5	OK	145	140	131	123	124	84.8	85.5	226.5
213	XP_029090673.1	vitamin D-binding protein isoform X1 [Monodon monoceros]	sp|P02774|VTDB_HUMAN	Vitamin D-binding protein OS=Homo sapiens OX=9606 GN=GC PE=1 SV=2	ident:398/475 pos:440/475 query:475 hit:474 align:473 bit:830.5	OK	475	474	473	398	440	83.8	92.6	830.5
214	XP_029090732.1	complement factor I [Monodon monoceros]	sp|P05156|CFAI_HUMAN	Complement factor I OS=Homo sapiens OX=9606 GN=CFI PE=1 SV=2	ident:423/590 pos:478/590 query:590 hit:583 align:595 bit:870.9	OK	590	583	595	423	478	71.7	81.0	870.9
215	XP_029091046.1	serum albumin [Monodon monoceros]	sp|P02768|ALBU_HUMAN	Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2	ident:477/607 pos:541/607 query:607 hit:609 align:608 bit:1004.2	OK	607	609	608	477	541	78.6	89.1	1004.2
216	XP_029091251.1	follistatin-related protein 5 isoform X1 [Monodon monoceros]	sp|Q8N475|FSTL5_HUMAN	Follistatin-related protein 5 OS=Homo sapiens OX=9606 GN=FSTL5 PE=2 SV=2	ident:781/847 pos:818/847 query:847 hit:847 align:847 bit:1658.7	OK	847	847	847	781	818	92.2	96.6	1658.7
217	XP_029091312.1	platelet basic protein isoform X1 [Monodon monoceros]	sp|P02775|CXCL7_HUMAN	Platelet basic protein OS=Homo sapiens OX=9606 GN=PPBP PE=1 SV=3	ident:83/128 pos:92/128 query:128 hit:128 align:127 bit:128.6	OK	128	128	127	83	92	64.8	71.9	128.6
218	XP_029091314.1	platelet factor 4-like isoform X1 [Monodon monoceros]	sp|P02776|PLF4_HUMAN	Platelet factor 4 OS=Homo sapiens OX=9606 GN=PF4 PE=1 SV=2	ident:55/112 pos:63/112 query:112 hit:101 align:78 bit:105.5	OK	112	101	78	55	63	49.1	56.2	105.5
219	XP_029091390.1	afamin isoform X1 [Monodon monoceros]	sp|P43652|AFAM_HUMAN	Afamin OS=Homo sapiens OX=9606 GN=AFM PE=1 SV=1	ident:448/616 pos:512/616 query:616 hit:599 align:593 bit:938.3	OK	616	599	593	448	512	72.7	83.1	938.3
220	XP_029091683.1	hepatocyte growth factor activator isoform X2 [Monodon monoceros]	sp|Q04756|HGFA_HUMAN	Hepatocyte growth factor activator OS=Homo sapiens OX=9606 GN=HGFAC PE=1 SV=1	ident:545/658 pos:583/658 query:658 hit:655 align:661 bit:1068.9	OK	658	655	661	545	583	82.8	88.6	1068.9
221	XP_029091689.1	immunoglobulin J chain [Monodon monoceros]	sp|P01591|IGJ_HUMAN	Immunoglobulin J chain OS=Homo sapiens OX=9606 GN=JCHAIN PE=1 SV=4	ident:135/158 pos:146/158 query:158 hit:159 align:160 bit:273.9	OK	158	159	160	135	146	85.4	92.4	273.9
222	XP_029091729.1	fibrinogen beta chain isoform X2 [Monodon monoceros]	sp|P02675|FIBB_HUMAN	Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2	ident:407/488 pos:450/488 query:488 hit:491 align:488 bit:874.4	OK	488	491	488	407	450	83.4	92.2	874.4
223	XP_029091731.1	fibrinogen alpha chain-like isoform X1 [Monodon monoceros]	sp|P02671|FIBA_HUMAN	Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2	ident:404/610 pos:472/610 query:610 hit:866 align:658 bit:716.5	OK	610	866	658	404	472	66.2	77.4	716.5
224	XP_029091733.1	fibrinogen alpha chain-like [Monodon monoceros]	sp|P02671|FIBA_HUMAN	Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2	ident:170/188 pos:179/188 query:188 hit:866 align:188 bit:362.8	Partial_match_hit	188	866	188	170	179	90.4	95.2	362.8
225	XP_029091752.1	fibrinogen gamma chain isoform X1 [Monodon monoceros]	sp|P02679|FIBG_HUMAN	Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3	ident:371/445 pos:407/445 query:445 hit:453 align:445 bit:807.0	OK	445	453	445	371	407	83.4	91.5	807.0
226	XP_029091883.1	extracellular superoxide dismutase [Cu-Zn] [Monodon monoceros]	sp|P08294|SODE_HUMAN	Extracellular superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD3 PE=1 SV=2	ident:172/244 pos:190/244 query:244 hit:240 align:230 bit:349.7	OK	244	240	230	172	190	70.5	77.9	349.7
227	XP_029092112.1	non-secretory ribonuclease [Monodon monoceros]	sp|P10153|RNAS2_HUMAN	Non-secretory ribonuclease OS=Homo sapiens OX=9606 GN=RNASE2 PE=1 SV=2	ident:79/158 pos:102/158 query:158 hit:161 align:161 bit:128.3	OK	158	161	161	79	102	50.0	64.6	128.3
228	XP_029092146.1	chromogranin-A isoform X1 [Monodon monoceros]	sp|P10645|CMGA_HUMAN	Chromogranin-A OS=Homo sapiens OX=9606 GN=CHGA PE=1 SV=7	ident:350/445 pos:373/445 query:445 hit:457 align:458 bit:594.0	OK	445	457	458	350	373	78.7	83.8	594.0
229	XP_029092234.1	protein Z-dependent protease inhibitor [Monodon monoceros]	sp|Q9UK55|ZPI_HUMAN	Protein Z-dependent protease inhibitor OS=Homo sapiens OX=9606 GN=SERPINA10 PE=1 SV=1	ident:322/446 pos:361/446 query:446 hit:444 align:447 bit:647.1	OK	446	444	447	322	361	72.2	80.9	647.1
230	XP_029092730.1	neuropilin-1 isoform X1 [Monodon monoceros]	sp|O14786|NRP1_HUMAN	Neuropilin-1 OS=Homo sapiens OX=9606 GN=NRP1 PE=1 SV=3	ident:882/924 pos:900/924 query:924 hit:923 align:924 bit:1804.3	OK	924	923	924	882	900	95.5	97.4	1804.3
231	XP_029093064.1	pyruvate kinase PKM isoform X1 [Monodon monoceros]	sp|P14618|KPYM_HUMAN	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	ident:515/531 pos:521/531 query:531 hit:531 align:531 bit:1065.5	OK	531	531	531	515	521	97.0	98.1	1065.5
232	XP_029093387.1	plasma serine protease inhibitor [Monodon monoceros]	sp|P05154|IPSP_HUMAN	Plasma serine protease inhibitor OS=Homo sapiens OX=9606 GN=SERPINA5 PE=1 SV=3	ident:293/403 pos:338/403 query:403 hit:406 align:397 bit:592.4	OK	403	406	397	293	338	72.7	83.9	592.4
233	XP_029093841.1	thrombospondin-1 isoform X1 [Monodon monoceros]	sp|P07996|TSP1_HUMAN	Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2	ident:1146/1171 pos:1157/1171 query:1171 hit:1170 align:1170 bit:2363.6	OK	1171	1170	1170	1146	1157	97.9	98.8	2363.6
234	XP_029094374.1	protogenin [Monodon monoceros]	sp|Q2VWP7|PRTG_HUMAN	Protogenin OS=Homo sapiens OX=9606 GN=PRTG PE=2 SV=1	ident:1086/1200 pos:1116/1200 query:1200 hit:1150 align:1147 bit:2230.3	OK	1200	1150	1147	1086	1116	90.5	93.0	2230.3
235	XP_029094619.1	A-kinase anchor protein 13 isoform X1 [Monodon monoceros]	sp|Q12802|AKP13_HUMAN	A-kinase anchor protein 13 OS=Homo sapiens OX=9606 GN=AKAP13 PE=1 SV=2	ident:2218/2801 pos:2404/2801 query:2801 hit:2813 align:2826 bit:4153.6	OK	2801	2813	2826	2218	2404	79.2	85.8	4153.6
236	XP_029094626.1	alpha-actinin-1 isoform X1 [Monodon monoceros]	sp|P12814|ACTN1_HUMAN	Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2	ident:883/892 pos:887/892 query:892 hit:892 align:892 bit:1848.6	OK	892	892	892	883	887	99.0	99.4	1848.6
237	XP_029095127.1	inter-alpha-trypsin inhibitor heavy chain H2 isoform X1 [Monodon monoceros]	sp|P19823|ITIH2_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens OX=9606 GN=ITIH2 PE=1 SV=2	ident:807/946 pos:880/946 query:946 hit:946 align:946 bit:1714.9	OK	946	946	946	807	880	85.3	93.0	1714.9
238	XP_029095606.1	corticosteroid-binding globulin [Monodon monoceros]	sp|P08185|CBG_HUMAN	Corticosteroid-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA6 PE=1 SV=1	ident:273/404 pos:320/404 query:404 hit:405 align:391 bit:563.1	OK	404	405	391	273	320	67.6	79.2	563.1
239	XP_029095799.1	properdin [Monodon monoceros]	sp|P27918|PROP_HUMAN	Properdin OS=Homo sapiens OX=9606 GN=CFP PE=1 SV=2	ident:344/464 pos:378/464 query:464 hit:469 align:441 bit:678.7	OK	464	469	441	344	378	74.1	81.5	678.7
240	XP_029096025.1	phosphatidylcholine-sterol acyltransferase isoform X1 [Monodon monoceros]	sp|P04180|LCAT_HUMAN	Phosphatidylcholine-sterol acyltransferase OS=Homo sapiens OX=9606 GN=LCAT PE=1 SV=1	ident:393/440 pos:405/440 query:440 hit:440 align:433 bit:789.6	OK	440	440	433	393	405	89.3	92.0	789.6
241	XP_029096146.1	moesin [Monodon monoceros]	sp|P26038|MOES_HUMAN	Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3	ident:573/577 pos:577/577 query:577 hit:577 align:577 bit:1170.6	OK	577	577	577	573	577	99.3	100.0	1170.6
242	XP_029096182.1	filamin-A isoform X1 [Monodon monoceros]	sp|P21333|FLNA_HUMAN	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4	ident:2588/2647 pos:2617/2647 query:2647 hit:2647 align:2647 bit:5286.5	OK	2647	2647	2647	2588	2617	97.8	98.9	5286.5
243	XP_029096556.1	thyroxine-binding globulin [Monodon monoceros]	sp|P05543|THBG_HUMAN	Thyroxine-binding globulin OS=Homo sapiens OX=9606 GN=SERPINA7 PE=1 SV=2	ident:334/420 pos:366/420 query:420 hit:415 align:400 bit:693.7	OK	420	415	400	334	366	79.5	87.1	693.7
244	XP_029096561.1	lysosome-associated membrane glycoprotein 2 isoform X1 [Monodon monoceros]	sp|P13473|LAMP2_HUMAN	Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens OX=9606 GN=LAMP2 PE=1 SV=2	ident:351/411 pos:374/411 query:411 hit:410 align:411 bit:697.2	OK	411	410	411	351	374	85.4	91.0	697.2
245	XP_029096617.1	BCL-6 corepressor-like protein 1 isoform X1 [Monodon monoceros]	sp|Q5H9F3|BCORL_HUMAN	BCL-6 corepressor-like protein 1 OS=Homo sapiens OX=9606 GN=BCORL1 PE=1 SV=1	ident:1590/1785 pos:1620/1785 query:1785 hit:1711 align:1790 bit:2899.8	OK	1785	1711	1790	1590	1620	89.1	90.8	2899.8
246	XP_029096936.1	phosphoglycerate kinase 1 [Monodon monoceros]	sp|P00558|PGK1_HUMAN	Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3	ident:405/417 pos:416/417 query:417 hit:417 align:417 bit:830.9	OK	417	417	417	405	416	97.1	99.8	830.9
247	XP_029097099.1	coagulation factor IX [Monodon monoceros]	sp|P00740|FA9_HUMAN	Coagulation factor IX OS=Homo sapiens OX=9606 GN=F9 PE=1 SV=2	ident:396/462 pos:430/462 query:462 hit:461 align:462 bit:836.6	OK	462	461	462	396	430	85.7	93.1	836.6
248	XP_029097311.1	tafazzin [Monodon monoceros]	sp|Q16635|TAZ_HUMAN	Tafazzin OS=Homo sapiens OX=9606 GN=TAZ PE=1 SV=1	ident:165/170 pos:168/170 query:170 hit:292 align:200 bit:332.4	OK	170	292	200	165	168	97.1	98.8	332.4
249	XP_029097493.1	tetranectin [Monodon monoceros]	sp|P05452|TETN_HUMAN	Tetranectin OS=Homo sapiens OX=9606 GN=CLEC3B PE=1 SV=3	ident:171/202 pos:179/202 query:202 hit:202 align:202 bit:343.6	OK	202	202	202	171	179	84.7	88.6	343.6
250	XP_029097508.1	coagulation factor XIII A chain [Monodon monoceros]	sp|P00488|F13A_HUMAN	Coagulation factor XIII A chain OS=Homo sapiens OX=9606 GN=F13A1 PE=1 SV=4	ident:634/732 pos:695/732 query:732 hit:732 align:732 bit:1368.6	OK	732	732	732	634	695	86.6	94.9	1368.6
251	XP_029097575.1	ly6/PLAUR domain-containing protein 3 [Monodon monoceros]	sp|O95274|LYPD3_HUMAN	Ly6/PLAUR domain-containing protein 3 OS=Homo sapiens OX=9606 GN=LYPD3 PE=1 SV=2	ident:255/352 pos:275/352 query:352 hit:346 align:344 bit:464.9	OK	352	346	344	255	275	72.4	78.1	464.9
